ティッカー,銘柄コード,現在値,20日リターン(%),60日リターン(%),RSI14,SMA25乖離(%),SMA200乖離(%),ADX14,マッチ戦略数,マッチ戦略,PER,PBR,ROE(%),配当利回り(%),売上高成長(%),時価総額(B$)
4385.T,4385,3403.0,-2.63,15.53,48.1,-2.4,25.2,19.2,2,I-1_安定バランス | I-2_成長型,19.6,5.06,30.6,,15.4,561.12
AAPL,AAPL,251.0,-5.52,-7.58,40.7,-3.3,1.9,23.0,2,F-1_高品質コア | I-5_安定重視ドローダウン抑制,31.8,41.93,152.0,42.0,15.7,3696.38
ARM,ARM,137.0,10.59,22.2,66.9,9.8,-0.9,14.3,2,I-2_成長型 | I-4_イベントドリブン,182.5,18.64,11.3,,26.3,145.38
LRCX,LRCX,233.0,-3.58,33.36,55.5,2.6,52.7,16.9,2,I-1_安定バランス | I-2_成長型,48.0,28.77,65.6,46.0,22.1,293.04
ABNB,ABNB,133.0,7.83,-2.86,54.0,1.6,3.1,15.1,2,I-1_安定バランス | I-5_安定重視ドローダウン抑制,32.8,9.73,30.2,,12.0,79.49
INFY,INFY,13.0,-4.39,-28.38,34.3,-4.9,-21.1,31.6,2,B-3_高配当低負債 | C-4_MACDダイバージェンス,17.3,5.83,32.7,393.0,3.2,54.6
KLAC,KLAC,1511.0,1.6,19.28,55.9,2.6,31.8,12.6,2,A-4_一目均衡表三役好転 | I-1_安定バランス,44.0,36.26,100.7,51.0,7.2,198.59
CAVA,CAVA,87.0,27.39,46.71,62.3,9.8,27.2,29.4,2,A-4_一目均衡表三役好転 | E-3_セクターローテーション,161.2,12.97,8.6,,20.9,10.13
4484.T,4484,306.0,-3.16,-0.65,47.7,-1.4,10.0,25.6,2,I-5_安定重視ドローダウン抑制 | I-6_高精度多軸,30.9,3.42,14.4,130.0,25.0,4.95
MPWR,MPWR,1076.0,-9.55,14.27,47.1,-3.4,16.1,23.3,2,I-1_安定バランス | I-2_成長型,83.9,14.85,19.2,75.0,20.8,52.87
PLTR,PLTR,161.0,23.15,-17.15,60.6,10.1,-1.7,18.6,1,E-1_自社株買い,255.3,52.07,26.0,,70.0,384.68
GOOGL,GOOGL,302.0,-2.96,-3.84,42.8,-1.3,16.1,24.8,1,I-5_安定重視ドローダウン抑制,27.9,8.79,35.7,28.0,18.0,3654.02
AVGO,AVGO,323.0,-2.37,-7.67,47.3,-1.4,-0.7,17.9,1,C-4_MACDダイバージェンス,63.0,5.45,33.4,84.0,16.4,1529.11
ANET,ANET,136.0,6.63,3.47,51.2,1.2,4.2,9.2,1,I-1_安定バランス,49.2,13.8,31.4,,28.9,171.11
LULU,LULU,164.0,-7.71,-22.71,41.8,-4.4,-14.9,22.3,1,C-4_MACDダイバージェンス,12.4,3.86,34.0,,0.8,19.28
MRNA,MRNA,51.0,1.97,58.81,51.4,-1.5,57.3,35.6,1,A-4_一目均衡表三役好転,,2.34,-28.9,,-29.8,20.34
REGN,REGN,737.0,-6.42,-6.08,41.2,-4.1,13.0,13.8,1,I-5_安定重視ドローダウン抑制,17.8,2.42,14.9,51.0,2.5,77.87
PYPL,PYPL,45.0,3.58,-23.2,49.1,1.2,-27.4,16.7,1,C-4_MACDダイバージェンス,8.4,2.07,25.7,127.0,3.7,42.56
COIN,COIN,201.0,25.2,-17.2,53.7,6.5,-29.2,21.7,1,E-1_自社株買い,45.2,3.63,10.1,,-22.2,54.1
QCOM,QCOM,128.0,-8.0,-26.08,31.6,-6.1,-18.6,35.5,1,C-4_MACDダイバージェンス,25.9,5.97,21.5,274.0,5.0,137.08
MRVL,MRVL,90.0,15.9,2.9,57.8,7.0,12.2,14.8,1,I-1_安定バランス,29.4,5.34,19.3,27.0,22.1,78.83
RBLX,RBLX,57.0,-8.95,-29.82,36.7,-9.1,-43.8,21.4,1,C-4_MACDダイバージェンス,,102.05,-367.2,,43.2,40.28
VRTX,VRTX,451.0,-6.19,-1.74,42.1,-4.6,2.9,14.1,1,I-5_安定重視ドローダウン抑制,29.5,6.14,22.5,,9.5,114.63
ASML,ASML,1370.0,-7.83,29.16,49.1,-2.4,33.3,19.8,1,I-1_安定バランス,48.4,23.28,50.5,67.0,4.9,537.79
SAP,SAP,178.0,-9.43,-27.27,31.1,-8.5,-30.1,34.6,1,B-3_高配当低負債,25.5,4.04,16.1,169.0,3.3,209.5
6098.T,6098,6311.0,-0.41,-28.68,36.6,-3.1,-21.9,24.3,1,C-4_MACDダイバージェンス,21.2,5.69,27.3,40.0,5.2,8811.5
9270.T,9270,1681.0,-2.66,76.95,44.3,-4.8,46.9,19.9,1,A-4_一目均衡表三役好転,32.5,2.59,25.0,178.0,30.3,22.15
4751.T,4751,1343.0,1.32,2.44,47.5,0.1,-10.9,15.0,1,E-1_自社株買い,22.8,3.65,20.1,141.0,14.0,680.66
2802.T,2802,4176.0,-9.49,24.55,41.6,-8.6,6.3,30.0,1,C-4_MACDダイバージェンス,111.1,5.41,10.3,115.0,4.5,4008.49
