戦略,国内ヒット数,米国ヒット数,合計,国内銘柄,米国銘柄
S1_超高成長BK,0,0,0,,
S2_グロースクオリティ,2,1,3,8766.T、4385.T,ADEA
S3_CANSLIM強化,0,0,0,,
S4_Rule50,0,1,1,,ADEA
S5_PEG割安高成長,0,0,0,,
S6_モメンタム最強,0,1,1,,BP
S7_アナリスト上値余地,1,4,5,4543.T,IOT、AMD、ADEA、CLS
